q,base,height,stable_residue,previous_height_mod_q_to_m,new_digit
4,3,1,3,1,3
4,3,2,11,3,2
4,3,3,59,27,3
4,3,4,59,187,0
4,3,5,827,315,3
4,3,6,2875,827,2
4,3,7,15163,6971,3
4,3,8,31547,64315,1
4,3,9,97083,228155,1
4,3,10,359227,883515,1
6,5,1,5,1,5
6,5,2,29,5,4
6,5,3,29,101,0
6,5,4,1109,245,5
6,5,5,3701,6293,2
6,5,6,34805,3701,4
6,5,7,128117,221429,2
6,5,8,687989,1247861,2
6,5,9,4047221,7406453,2
6,5,10,34280309,54435701,3
8,7,1,7,1,7
8,7,2,55,7,6
8,7,3,119,247,1
8,7,4,3703,631,7
8,7,5,7799,15991,1
8,7,6,138871,204407,4
8,7,7,1711735,138871,6
8,7,8,8003191,12197495,3
8,7,9,125443703,24780407,7
8,7,10,930750071,125443703,6
10,9,1,9,1,9
10,9,2,89,9,8
10,9,3,289,489,2
10,9,4,5289,7289,5
10,9,5,45289,65289,4
10,9,6,745289,945289,7
10,9,7,2745289,4745289,2
10,9,8,92745289,12745289,9
10,9,9,392745289,592745289,3
10,9,10,7392745289,9392745289,7
12,11,1,11,1,11
12,11,2,131,11,10
12,11,3,563,851,3
12,11,4,16115,19571,9
12,11,5,57587,99059,2
12,11,6,1799411,2297075,7
12,11,7,25687283,31659251,8
12,11,8,419837171,61519091,11
12,11,9,419837171,1279800563,0
12,11,10,31378519283,41698079987,6
14,13,1,13,1,13
14,13,2,181,13,12
14,13,3,965,1357,4
14,13,4,25661,31149,9
14,13,5,332989,409821,8
14,13,6,4635581,5711229,8
14,13,7,49812797,64871869,6
14,13,8,155226301,366053309,1
14,13,9,1631015357,4582593469,1
14,13,10,166919389629,208241483197,8
16,15,1,15,1,15
16,15,2,239,15,14
16,15,3,1519,2031,5
16,15,4,13807,21999,3
16,15,5,669167,800239,10
16,15,6,669167,2766319,0
16,15,7,67778031,101332463,4
16,15,8,3557438959,4094309871,13
16,15,9,50802079215,59392013807,11
16,15,10,806716323311,944155276783,11
18,17,1,17,1,17
18,17,2,305,17,16
18,17,3,2249,2897,6
18,17,4,43073,54737,7
18,17,5,567953,777905,5
18,17,6,8126225,11905361,4
18,17,7,552321809,8126225,16
18,17,8,1776761873,3001201937,2
18,17,9,189116091665,12796722449,17
18,17,10,2172708995345,2569427576081,10
20,19,1,19,1,19
20,19,2,379,19,18
20,19,3,3179,3979,7
20,19,4,43179,59179,5
20,19,5,1963179,2283179,12
20,19,6,1963179,8363179,0
20,19,7,129963179,257963179,2
20,19,8,20609963179,23169963179,16
20,19,9,404609963179,455809963179,15
20,19,10,7060609963179,8084609963179,13
