case,N,P_N_at_minus2,renormalized_P_N,P_N_at_boundary_phase_pi
half,16,-8.13824535163394196,1.00420665088609158,2.7136807522868527
half,32,-10.3179800503164591,1.11008495283358282,2.84220118952406805
half,64,-12.548723555394222,1.16495444838582835,2.90961148870467982
half,128,-14.8063794797568173,1.19291152465324135,2.9441645450726563
half,256,-17.0778777550860869,1.2070262499539802,2.96166160291779266
sqrt2,16,-5.69073452305097064,2.30926547694902936,0.767921617073902156
sqrt2,32,-7.4769475638318998,2.5230524361681002,1.68520213630874037
sqrt2,64,-9.36127672599092717,2.63872327400907283,2.20316319414602733
sqrt2,128,-11.300929926674833,2.69907007332516704,2.47788276852965532
sqrt2,256,-13.2700735690736536,2.72992643092634637,2.61957172220876343
nine_tenths,16,-3.55162451643692869,4.02556198042933541,-201155.101622201715
nine_tenths,32,-4.71798418904253212,4.753498932040298,-1194535.85557291269
nine_tenths,64,-6.08685659342231928,5.27892315187707686,-1169524.64079441821
nine_tenths,128,-7.66215568907531339,5.59792068044064878,-666955.13308606959
nine_tenths,256,-9.37981627947703414,5.77455671425549406,-355452.299433987851
