case,n,q_n_b_n,normalized_Newton_coefficient
half,16,0.999995233093964646,0.965867612350495866
half,32,0.999999999937903357,0.982052175369642933
half,64,1.0,0.990782152837165589
half,128,1.0,0.995326825514166245
half,256,1.0,0.99764690889685811
sqrt2,16,0.998973560811071986,0.879707360943849588
sqrt2,32,0.999997544955061161,0.935557069566605649
sqrt2,64,0.99999999998306582,0.966038362342266792
sqrt2,128,1.0,0.982535923930511044
sqrt2,256,1.0,0.991140337042591197
nine_tenths,16,0.903444816899056175,0.123679277408516377
nine_tenths,32,0.985592621872845958,0.50777706515663733
nine_tenths,64,0.999591097617909715,0.778842446236294818
nine_tenths,128,0.999999592233711402,0.878304584733595799
nine_tenths,256,0.999999999999513414,0.934662951358146991
