q,m,epsilon^0,epsilon^1,epsilon^2,epsilon^3,epsilon^4
1,0,1,0,0,0,0
1,1,-1,1,-1,1,-1
1,2,1,-3/2,7/4,-15/8,31/16
1,3,-1,11/6,-29/12,211/72,-169/48
1,4,1,-25/12,3,-563/144,701/144
1,5,-1,137/60,-211/60,695/144,-249/40
2,0,1,0,0,0,0
2,1,-1/2,3/4,-7/8,15/16,-31/32
2,2,3/8,-3/4,27/32,-21/32,45/128
2,3,-5/16,23/32,-43/48,17/16,-4055/2304
2,4,35/128,-11/16,713/768,-307/256,28061/18432
2,5,-63/256,1689/2560,-4851/5120,13123/10240,-2049/1280
3,0,1,0,0,0,0
3,1,-1/3,2/3,-8/9,1,-28/27
3,2,2/9,-5/9,31/54,-7/108,-137/216
3,3,-14/81,13/27,-89/162,221/324,-4391/1944
3,4,35/243,-209/486,1555/2916,-53/72,32933/34992
3,5,-91/729,2857/7290,-22667/43740,65093/87480,-29531/34992
4,0,1,0,0,0,0
4,1,-1/4,5/8,-15/16,35/32,-71/64
4,2,5/32,-15/32,55/128,15/32,-835/512
4,3,-15/128,295/768,-25/64,1295/2304,-68425/18432
4,4,195/2048,-1015/3072,4525/12288,-21935/36864,196745/294912
4,5,-663/8192,14389/49152,-11475/32768,342371/589824,-10913/23040
5,0,1,0,0,0,0
5,1,-1/5,3/5,-1,6/5,-29/25
5,2,3/25,-21/50,33/100,207/200,-5451/2000
5,3,-11/125,83/250,-439/1500,109/200,-548293/90000
5,4,44/625,-697/2500,2047/7500,-5653/10000,89993/225000
5,5,-924/15625,3033/12500,-1609/6250,5353/10000,-97613/750000
6,0,1,0,0,0,0
6,1,-1/6,7/12,-77/72,21/16,-1015/864
6,2,7/72,-7/18,217/864,1435/864,-13601/3456
6,3,-91/1296,259/864,-287/1296,763/1296,-591395/62208
6,4,1729/31104,-1925/7776,38647/186624,-4109/6912,159775/4478976
6,5,-8645/186624,397103/1866240,-2190139/11197440,2455775/4478976,825727/2799360
7,0,1,0,0,0,0
7,1,-1/7,4/7,-8/7,10/7,-8/7
7,2,4/49,-18/49,9/49,33/14,-1031/196
7,3,-20/343,286/1029,-169/1029,4183/6174,-24865/1764
7,4,110/2401,-1633/7203,2251/14406,-57377/86436,-4019/8232
7,5,-638/16807,48677/252105,-75223/504210,258691/432180,5201843/6050520
8,0,1,0,0,0,0
8,1,-1/8,9/16,-39/32,99/64,-135/128
8,2,9/128,-45/128,63/512,801/256,-13707/2048
8,3,-51/1024,537/2048,-59/512,1647/2048,-983495/49152
8,4,1275/32768,-3471/16384,7475/65536,-50139/65536,-1920949/1572864
8,5,-8415/262144,469647/2621440,-584799/5242880,7100631/10485760,65827/40960
