r,exponent_log2_r,C_r_prime_log_symbols
3/2,L3 - 1,1
2,1,1
9/4,2*L3 - 2,1/2 - L3
5/2,L5 - 1,1
3,L3,-L3
27/8,3*L3 - 3,3*L3**2/2 - 3*L3/2 + 1/3
7/2,L7 - 1,1
15/4,L3 + L5 - 2,-L3 - L5 + 1
4,2,-1/2
9/2,2*L3 - 1,2*L3**2 - L3 + 1
5,L5,-L5
81/16,4*L3 - 4,-8*L3**3/3 + 4*L3**2 - 11*L3/6 + 1/4
21/4,L3 + L7 - 2,-L3 - L7 + 1
11/2,L11 - 1,1
45/8,2*L3 + L5 - 3,2*L3**2 + 2*L3*L5 - 3*L3 + L5**2/2 - 3*L5/2 + 1
6,L3 + 1,L3**2/2 + L3/2
25/4,2*L5 - 2,1/2 - L5
13/2,L13 - 1,1
27/4,3*L3 - 2,-9*L3**3/2 + 9*L3**2/2 - 4*L3 + 1
7,L7,-L7
15/2,L3 + L5 - 1,L3**2 + 2*L3*L5 - L3 + L5**2 - L5 + 1
243/32,5*L3 - 5,125*L3**4/24 - 125*L3**3/12 + 175*L3**2/24 - 25*L3/12 + 1/5
63/8,2*L3 + L7 - 3,2*L3**2 + 2*L3*L7 - 3*L3 + L7**2/2 - 3*L7/2 + 1
